SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
SANGHVIMOV,EQ,235.95,240.35,234.05,235.8,237.55,236.55,29166,6895669.65,707,INE989A01024
SANOFI,EQ,4198.85,4380.9,4080.1,4148.65,4130,4132.9,2551,10697121.3,972,INE058A01010
SANWARIA,EQ,15.25,15.7,14.6,14.7,14.75,15.3,1699877,25614309.65,1685,INE890C01046
SARDAEN,EQ,247.6,251,246.65,250.1,250,249.85,42785,10685517.25,771,INE385C01013
SAREGAMA,EQ,267,293.9,267,283.1,282.45,265.95,889713,252739843.9,16446,INE979A01017
SARLAPOLY,EQ,48.65,48.8,48,48.3,48.25,48.65,28748,1389103.35,272,INE453D01025
SASKEN,EQ,414,434.95,405.25,425.4,426,417.6,25838,10893958.55,1412,INE231F01020
SATHAISPAT,EQ,36,38.4,35.05,35.95,35.95,36.25,34837,1265437.4,243,INE176C01016
SATIN,EQ,273,279.8,271,273.05,272.5,273.45,72484,19902966.1,1487,INE836B01017
SBIN,EQ,277.6,278.45,273.75,276.4,276.25,279.65,17241351,4756142542.2,140286,INE062A01020
SCHAND,EQ,486.8,493.35,473.1,484.3,485.3,487.4,139250,67239487.8,5167,INE807K01035
SCHNEIDER,EQ,125.2,128.05,125.2,126,126,125.9,40449,5120921.5,677,INE839M01018
SCI,EQ,78.4,79.2,77.15,77.5,77.65,78,620162,48386473,4238,INE109A01011
SDBL,EQ,134.5,134.5,126.1,127.1,127.65,134.65,58360,7536254.9,720,INE480C01012
SEAMECLTD,EQ,147.1,161,145.95,157.45,160,146.7,335872,52500043.15,5453,INE497B01018
SEINV,EQ,152,156.7,149.15,152.2,151.95,150,346,52390.85,36,INE420C01042
SELAN,EQ,155,158,154.7,155.1,154.8,156.7,74666,11642992.65,1096,INE818A01017
SELMCL,EQ,3,3,2.95,2.95,2.95,3,57178,170127.55,33,INE105I01012
SENSEXIWIN,EQ,321.15,321.15,321.15,321.15,321.15,319.36,160,51384,16,INF346A01034
SEPOWER,EQ,7.75,8,7.65,7.9,7.9,8.1,2352,18407.3,10,INE735M01018
SEQUENT,EQ,119.95,119.95,116.35,117.1,117,117.95,20913,2457470.75,300,INE807F01027
SERVALL,EQ,3,3.1,2.8,2.8,3.05,3.15,5632,16010.9,8,INE431L01016
SESHAPAPER,EQ,757.4,759,748,750.05,748,755.2,15793,11856972.45,707,INE630A01016
SETCO,EQ,37.35,37.5,36.5,36.6,36.5,36.95,98607,3645466.95,700,INE878E01021
SETFGOLD,EQ,2625.55,2640.1,2613.15,2615.1,2615.55,2625.6,4316,11323211.1,2185,INF200K01099
SETFNIF50,EQ,96.03,96.19,95.75,95.97,95.96,96.06,7094,680372.23,37,INF200KA1FS1
SKIPPER,EQ,192.05,198.9,190.5,196,198.85,192.6,22136,4302767.85,632,INE439E01022
SMARTLINK,EQ,96.9,97.55,95.5,96.4,96.15,96.2,43873,4237399.95,308,INE178C01020
SMLISUZU,EQ,1235,1243.95,1221,1238.5,1240.3,1232.4,11769,14521515.3,710,INE294B01019
SMPL,EQ,1.7,1.75,1.55,1.55,1.55,1.7,351951,565074,164,INE215G01021
SNOWMAN,EQ,59.8,60.9,59.2,60.65,60.5,59,857065,51558735.65,6019,INE734N01019
SOBHA,EQ,374.15,375.95,365,366.1,366.7,373.6,88857,32867853.05,3292,INE671H01015
SOLARINDS,EQ,804.5,824.4,800.3,819.55,822,812.95,7079,5800164.8,592,INE343H01029
SOMANYCERA,EQ,780.05,783.7,765,771,770,770.65,2843,2190707,292,INE355A01028
SOMATEX,EQ,12.1,12.5,11.75,12.1,12.3,12.25,7612,92571.6,46,INE314C01013
SOMICONVEY,EQ,46,49.95,46,46.45,47,47.05,2469,114894.1,55,INE323J01019
SONASTEER,EQ,86.85,86.85,84.4,85.15,86.5,86.2,854714,73234465.4,1195,INE643A01035
SONATSOFTW,EQ,150,152,148.7,151.05,151.95,149.85,84122,12660682.55,2622,INE269A01021
SORILHOLD,EQ,37.1,39.1,36.25,38.35,38.3,37.25,428437,16428747.65,2224,INE126M01010
SORILINFRA,EQ,129.95,133.45,128.5,129.25,129.7,129.95,45114,5889195.35,693,INE034H01016
SOTL,EQ,1098.05,1158,1090.8,1128.75,1121,1118.6,1592,1808931,289,INE035D01012
SOUTHBANK,EQ,27.4,27.7,27,27.5,27.6,27.55,9484606,260341794.35,9138,INE683A01023
SPAL,EQ,451,458,448.5,450.8,450.9,451.95,14605,6607058.2,787,INE212I01016
SPARC,EQ,293.95,297.85,292.15,293.4,292.9,294.8,62900,18529050.7,2431,INE232I01014
SPCENET,EQ,0.45,0.45,0.4,0.4,0.4,0.45,14829,6121.6,6,INE970N01027
SPECIALITY,EQ,93.5,98,91.15,96.15,96,96.1,312039,30015514.6,1569,INE247M01014
SPENTEX,EQ,3.9,4,3.8,3.8,3.8,3.8,30401,118632.95,30,INE376C01020
SPHEREGSL,EQ,62.55,63.5,61.5,61.8,61.6,63.65,82342,5167382.15,462,INE737B01033
SPIC,EQ,25.55,26.1,25.2,25.7,25.7,25.5,221649,5675158.65,583,INE147A01011
SPICEMOBI,EQ,15.45,15.5,14.25,14.7,14.9,14.45,10513,154805.15,64,INE927C01020
SPLIL,EQ,20.2,21.4,20.2,20.55,20.35,20.95,4900,101101.85,42,INE978G01016
SPMLINFRA,EQ,129.4,130.8,125.4,126.3,125.65,126.05,74271,9497770.15,787,INE937A01023
SPYL,EQ,0.25,0.3,0.25,0.3,0.3,0.3,187673,54148.7,24,INE268L01020
TATACHEM,EQ,592,602.95,585,597.5,594,592.45,653181,387830056.55,12412,INE092A01019
TATACOFFEE,EQ,127.5,128.4,126.65,127.45,127.8,127.6,159173,20289202.2,3220,INE493A01027
TATACOMM,EQ,721,726,711,718.55,719.45,724.3,327179,234959497.45,11427,INE151A01013
TATAELXSI,EQ,1597.95,1612.8,1579.2,1594.9,1598.25,1588.5,415716,663529478.7,14569,INE670A01012
TATAGLOBAL,EQ,147.25,150.2,146.4,149.15,149,147.35,2135161,317141617.7,12426,INE192A01025
TATAINVEST,EQ,718,721,705.1,710.55,712.5,715.25,25204,17973509.6,1294,INE672A01018
TATAMETALI,EQ,706.9,717.4,701,702.85,701.35,702.45,145974,103541545.1,4283,INE056C01010
TATAMOTORS,EQ,443.9,446.8,440.15,442.5,442,442.3,4960238,2198547387.2,62049,INE155A01022
TATAMTRDVR,EQ,277,279,272.9,274.35,274.3,276.55,665549,183707967.15,13297,IN9155A01020
TATAPOWER,EQ,81.8,82,80.85,81.65,81.9,81.1,3192237,260130959.15,17579,INE245A01021
TATASPONGE,EQ,789,793.95,776,784.15,785.75,783.85,100493,78950945.7,4095,INE674A01014
TATASTEEL,EQ,512,522.85,509.4,520.6,521.95,510.9,6896090,3579679373.7,86351,INE081A01012
TBZ,EQ,85.25,86.8,84,85.1,85.3,85.7,68837,5882259.15,900,INE760L01018
TCI,EQ,292.95,295,287.65,290.4,291,291.45,61744,17944621.95,1660,INE688A01022
TCIDEVELOP,EQ,340.45,374.65,340.3,362.3,359.9,352.6,1112,390340.3,29,INE662L01016
TCIEXP,EQ,436.55,484,436.55,474.25,478,444.9,29747,13951442.45,1108,INE586V01016
TCIFINANCE,EQ,22.15,22.75,22.15,22.55,22.4,22.35,19824,446970.5,129,INE911B01018
TCS,EQ,2349.9,2358,2335,2350.05,2346.25,2342.85,894863,2099251693.65,46724,INE467B01029
TDPOWERSYS,EQ,213.2,218,213.2,217.2,216.45,215.85,57773,12517168.95,348,INE419M01019
TEAMLEASE,EQ,1327,1330,1303.1,1314.35,1312,1332.9,5228,6874072.8,1677,INE985S01024
TECHIN,EQ,4.75,5.25,4.75,5.25,5.25,5,860,4204,8,INE778A01021
TECHM,EQ,380.75,394,380,392.25,392,380.1,1883908,733021567.6,34648,INE669C01036
TECHNO,EQ,366,384,363,381.15,380,368.85,20971,7861691.45,1534,INE286K01024
TECHNOFAB,EQ,220.7,226.9,220.7,224.25,226,224.35,34166,7654187.05,351,INE509K01011
TEJASNET,EQ,265,273.9,263.75,269.35,269.25,263.5,1421224,383015202.25,21194,INE010J01012
TERASOFT,EQ,76.5,76.5,71.1,71.75,71.45,73.55,24862,1805756.3,321,INE482B01010
TEXINFRA,EQ,42.05,42.95,42.05,42.3,42.3,42.4,12107,512473.45,65,INE435C01024
TEXMOPIPES,EQ,20.75,22.05,20.7,21.65,21.75,20.9,94071,2002459.35,315,INE141K01013
TEXRAIL,EQ,88.1,89.3,88.05,88.2,88.1,89,119525,10580617.65,974,INE621L01012
TFCILTD,EQ,95,100.2,93.5,98.6,98.25,95,1415854,138471108.8,6286,INE305A01015
TGBHOTELS,EQ,57.3,57.7,55,56.55,57,55.7,56671,3196449.3,549,INE797H01018
THANGAMAYL,EQ,232.15,237.4,229.2,237.35,237.4,233.3,1211,283212.45,36,INE085J01014
THEMISMED,EQ,507.75,516,507.75,515,515,509.3,2724,1401981.45,59,INE083B01016
THERMAX,EQ,928.05,944.9,922.05,941.85,931.15,932.5,5752,5387795.35,1763,INE152A01029
THIRUSUGAR,EQ,56.95,57.75,55.65,55.95,56.15,55.55,9407,531005.35,141,INE409A01015
THOMASCOOK,EQ,225.9,230,225.15,228.2,228.5,224.3,117906,26888662.05,3303,INE332A01027
THYROCARE,EQ,706.1,724.8,706.05,720.45,718,714.95,17398,12457827.75,1112,INE594H01019
TI,EQ,11.65,12.5,11.3,11.95,12.05,11.5,346249,4174602.6,1064,INE133E01013
TIDEWATER,EQ,5847.45,5849,5800,5812.95,5825,5805.4,440,2558442.55,152,INE484C01022
TIIL,EQ,445.15,457.95,445.1,453.4,450.55,450.9,4032,1824531.65,228,INE545H01011
TIL,EQ,380,387.45,376.65,379.95,379.1,377.15,17111,6532366.05,474,INE806C01018
TIMESGTY,EQ,30.5,32.9,29.05,32.4,32.4,30.5,456,13842.05,6,INE289C01025
TIMETECHNO,EQ,151.6,158.8,150.2,154.25,153.6,153.35,309546,47833983.5,4902,INE508G01029
TIMKEN,EQ,644.05,683,642.75,676.05,673,648,22602,14986576.2,1198,INE325A01013
TINPLATE,EQ,89.4,90.6,88.9,89.75,90.15,88.4,307358,27569328.95,3009,INE422C01014
TIPSINDLTD,EQ,63,64.45,61.1,63.35,62.05,63.6,388,24283.25,31,INE716B01011
TIRUMALCHM,EQ,839.05,842,830.25,839.05,841.35,838.65,13250,11101966.8,1044,INE338A01016
TITAN,EQ,516.4,516.6,500.6,507.3,507,516,1545428,782829574.55,28373,INE280A01028
TMRVL,EQ,152.35,156.55,150.65,153.85,154.4,154.65,28975,4482035.45,406,INE759V01019
TNPETRO,EQ,39.7,41.65,39.15,41.05,41.05,40.15,125462,5132787.9,994,INE148A01019
TNPL,EQ,315,319.55,314,315.45,316.35,315.55,45621,14482105.75,921,INE107A01015
TOKYOPLAST,EQ,148.5,148.75,143.15,145.6,146.05,147.2,77430,11268996.2,1311,INE932C01012
TORNTPHARM,EQ,1187.5,1188.45,1151.05,1165.55,1167.4,1184.75,135381,157529966.65,9091,INE685A01028
TORNTPOWER,EQ,174,176.6,172.3,174.2,174.7,174.5,456158,79644524.45,6537,INE813H01021
TPLPLASTEH,EQ,510,523,477.75,494.6,490,507.15,1865,923353.25,127,INE413G01014
TREEHOUSE,EQ,14.3,14.85,14.3,14.4,14.4,14.65,44074,638594.5,192,INE040M01013
TRENT,EQ,234,237.65,233.95,234.9,234.75,235.9,247588,58173834.85,3822,INE849A01020
TRF,EQ,230.45,233.9,228,228.75,228,228.8,39855,9198114.45,2211,INE391D01019
TRIDENT,EQ,77.55,77.65,76.05,76.2,76.5,77.55,361081,27609955.45,3971,INE064C01014
TRIL,EQ,341.6,347.7,340,340.2,340,341,3420,1169960.35,232,INE763I01018
TRITURBINE,EQ,138.5,141.15,137.5,138.3,137.95,139.55,167492,23581300.15,449,INE152M01016
TRIVENI,EQ,68.3,70.5,68.05,69.2,69.3,68.8,209979,14561843.85,1337,INE256C01024
TTKHLTCARE,EQ,757,770,755,765.05,770,764.7,2479,1886333.8,135,INE910C01018
TTKPRESTIG,EQ,6693.2,6719.8,6601.2,6636.6,6601.2,6748.05,6170,41136655.1,3028,INE690A01010
TTML,EQ,6.55,7.5,6.55,7,6.95,6.45,7337157,52114265.45,6288,INE517B01013
TUBEINVEST,EQ,665.3,668.85,643.1,654.35,649.95,665.6,164873,108111813.15,4590,INE149A01025
TULSI,EQ,3.75,4,3.5,3.7,3.7,3.8,18652,69589.3,81,INE474I01012
TV18BRDCST,EQ,36.05,36.15,35.4,35.45,35.4,36.05,2586860,92436491.3,5587,INE886H01027
TVSELECT,EQ,184.3,184.3,178,179.05,179.8,182.8,63460,11425259.25,1337,INE236G01019
UFO,EQ,395.5,395.5,386.55,387.5,387.2,395.6,23883,9312254,1034,INE527H01019
UGARSUGAR,EQ,24.8,24.8,24,24.2,24.25,24.85,218905,5329694.7,928,INE071E01023
UJAAS,EQ,25.7,25.7,24.95,25.2,25.15,25.55,662245,16708111.3,3615,INE899L01022
UJJIVAN,EQ,298,304.65,296.4,298.9,298,298.95,1198799,360716488.5,19765,INE334L01012
ULTRACEMCO,EQ,3878,3966.3,3840.55,3958.25,3950.05,3877.9,261198,1027641482.45,32762,INE481G01011
UMANGDAIRY,EQ,80.55,82.9,79.5,81.05,82,80.55,28923,2339799.45,331,INE864B01027
UMESLTD,EQ,2.2,2.2,2.2,2.2,2.2,2.25,4124,9072.8,2,INE240C01028
UNICHEMLAB,EQ,257,262.45,255.2,260,259.05,258.25,30786,7978241.65,519,INE351A01035
UNIENTER,EQ,81.25,82.2,79.4,80,80,80.9,10884,875112.35,170,INE037A01022
UNIONBANK,EQ,141,146.9,140.5,145.95,146.85,142.5,3596801,520992210.7,21701,INE692A01016
UNIPLY,EQ,308,308,298,306.2,306.95,302.8,13354,4052904.8,330,INE950G01015
UNITECH,EQ,5.5,6.15,5.45,5.9,5.95,5.4,61618557,364854340.5,17864,INE694A01020
UNITEDBNK,EQ,18.9,19.15,18.6,18.95,19.05,18.8,278229,5256298.65,1000,INE695A01019
UNITEDTEA,EQ,301.05,309.95,301,305.9,304,310,311,94558.9,21,INE458F01011
UNITY,EQ,6.8,7.15,6.8,6.85,6.8,6.8,53748,373049.65,141,INE466H01028
UNIVCABLES,EQ,92.5,93.7,92,92.3,92.7,92.75,10816,1001329.75,132,INE279A01012
UPL,EQ,834,835.1,823,832.9,834.9,835.1,497427,412801718.7,20344,INE628A01036
URJA,EQ,0.9,0.9,0.85,0.85,0.85,0.9,409374,348177.95,167,INE550C01020
USHAMART,EQ,17.95,18.5,17.7,17.9,18,17.8,320649,5808345.9,742,INE228A01035
UTINIFTETF,EQ,972.25,972.25,972.25,972.25,972.25,972.25,1,972.25,1,INF789FB1X41
UTISENSETF,EQ,317.45,317.45,317.45,317.45,317.45,317.65,1,317.45,1,INF789FB1X58
UTTAMSTL,EQ,29.15,29.9,29,29.25,29.25,29.15,64712,1901284.7,349,INE699A01011
UTTAMSUGAR,EQ,118.5,122.2,117.1,121.4,121.55,119.8,34056,4127441.4,327,INE786F01031
UVSL,EQ,0.5,0.55,0.5,0.5,0.5,0.5,37482,19242.05,18,INE292A01023
V2RETAIL,EQ,247,248.7,239.15,242.4,243,248.9,74122,18065211.95,1326,INE945H01013
VADILALIND,EQ,804.8,818.9,779.2,797.9,795,805,28371,22697849.3,1674,INE694D01016
VAIBHAVGBL,EQ,519.9,534,505,521.25,520,516.55,16299,8518538.4,2116,INE884A01019
VAKRANGEE,EQ,407,419.5,406.2,411.5,411.5,409.7,1719706,709647955.55,29307,INE051B01021
VALUEIND,EQ,8.4,8.45,8.25,8.45,8.45,7.7,44551,375758.1,74,INE352A01017
VARDHACRLC,EQ,47.5,48,47.4,47.85,48,47.4,16568,789776.9,66,INE116G01013
VARDMNPOLY,EQ,53.3,53.95,53,53.35,53.55,53.3,55114,2947443.85,653,INE835A01011
VASCONEQ,EQ,37,37.95,36.5,36.9,37,36.9,526363,19535567.25,1938,INE893I01013
VASWANI,EQ,9.5,9.5,9.4,9.4,9.45,9.45,1300,12322.25,5,INE590L01019
VBL,EQ,502,523,501,512.75,518.75,505.55,118535,60837625.75,2102,INE200M01013
VEDL,EQ,237.3,244.15,236.1,242.55,242.05,237.15,8886418,2142719981.75,70655,INE205A01025
VENKEYS,EQ,1401,1446,1401,1433.7,1432,1420.65,44773,63991964.15,3647,INE398A01010
VENUSREM,EQ,90,91.95,89.85,90.85,90.65,91.4,38170,3466780.35,1163,INE411B01019
VESUVIUS,EQ,1214.05,1223,1200,1207.2,1211.2,1200.65,963,1162001.75,168,INE386A01015
VETO,EQ,180,185.3,178.2,180,179.7,181.5,192308,34788312.55,1648,INE918N01018
VGUARD,EQ,175,175.9,172.6,174.75,175,175.7,700130,122225799.85,7426,INE951I01027
VHL,EQ,3308,3379.95,3278,3307.4,3317,3330.85,469,1556340.25,175,INE701A01023
VICEROY,EQ,18.8,19,18.45,18.8,18.8,18.85,45434,848512.95,345,INE048C01017
VIDEOIND,EQ,19.15,19.15,19.15,19.15,19.15,18.25,50021,957902.15,126,INE703A01011
VIDHIING,EQ,58.3,58.6,56.6,56.9,57,59.2,29304,1680193.05,239,INE632C01026
VIJAYABANK,EQ,70.35,72.5,69.35,70.95,70.8,71.65,764783,54408009.65,4976,INE705A01016
VIJSHAN,EQ,19.2,22.1,18,20.55,20.5,18.45,1576449,33659527.15,4112,INE806F01011
VIKASECO,EQ,20.4,20.4,19.85,20.1,20.25,20.4,769727,15496973.05,1810,INE806A01020
VIMTALABS,EQ,140.9,142,137.3,140.35,141.35,140.95,125656,17601061.4,1730,INE579C01029
VINATIORGA,EQ,902.1,933.55,902.1,922.65,917.45,915.3,66024,61078501.6,1009,INE410B01029
VINDHYATEL,EQ,773.9,773.9,733.1,759.15,757.5,758.65,6474,4893765.6,561,INE707A01012
VINYLINDIA,EQ,69.1,71.7,69,70.85,71.5,69.95,31901,2248211.6,413,INE250B01029
VIPCLOTHNG,EQ,62.9,64.6,61.95,62.95,62.7,62.45,277103,17572029.7,1550,INE450G01024
VIPIND,EQ,187.35,187.35,179,180.75,179.15,186.4,143168,26131352.5,4130,INE054A01027
VIPULLTD,EQ,79.15,82.95,78.2,79,80.85,79.15,298002,24048131.65,1735,INE946H01037
VISAKAIND,EQ,503.8,531.8,500,508.95,508,504.15,203476,105273341.5,9972,INE392A01013
WHEELS,EQ,1311,1327.3,1311,1322.35,1320,1319.6,347,457778.55,55,INE715A01015
WHIRLPOOL,EQ,1129.85,1130,1109.05,1126.6,1125,1120.65,13796,15463051.6,1854,INE716A01013
WINDMACHIN,EQ,56.7,58.7,52.8,53.4,53.8,54.6,19678,1061358.1,218,INE052A01021
WINSOME,EQ,1.95,1.95,1.85,1.95,1.95,1.9,63567,123893.55,22,INE784B01035
WIPRO,EQ,258,259.4,254.25,258.4,258.85,256.55,1668027,428642911.6,20018,INE075A01022
WOCKPHARMA,EQ,587,592.8,579.35,587.75,587.55,586.35,1247367,731328444.05,18656,INE049B01025
WONDERLA,EQ,365.35,367.45,356,356.9,356.65,365.35,25303,9139847.15,988,INE066O01014
WSI,EQ,8.55,10.3,8.55,10.2,10.3,8.6,23941,243620.05,59,INE100D01014
WSTCSTPAPR,EQ,192.4,192.4,188.8,190.05,190,192.4,132466,25168408.35,1536,INE976A01021
XCHANGING,EQ,55.4,56.35,55.35,55.95,56.3,55.5,13597,760240.95,155,INE692G01013
XPROINDIA,EQ,48.6,51.7,48.4,50,50.15,49.2,54433,2702735.15,115,INE445C01015
YESBANK,EQ,1414.4,1459.05,1401.5,1449.7,1449.95,1415.5,2723464,3915788417.4,78084,INE528G01019
ZANDUREALT,EQ,1253,1255,1233,1240.4,1235.5,1241.85,461,573260.4,111,INE719A01017
ZEEL,EQ,490,490.95,480,484.55,484.1,491.8,3001156,1453068197.2,66834,INE256A01028
ZEELEARN,EQ,42.8,42.95,41.65,42.3,42.6,42.75,123554,5208889.2,873,INE565L01011
ZEEMEDIA,EQ,38.05,39.2,36.75,37.05,36.85,38.05,984518,37312241.45,2759,INE966H01019
ZENSARTECH,EQ,852.45,864.55,827.95,839.9,836.45,855.65,5277,4466891.5,614,INE520A01019
ZENTEC,EQ,48.85,51.2,48,50.3,50.6,48.8,129566,6441504,1005,INE251B01027
ZICOM,EQ,30.65,31.4,30.05,30.35,30.35,30.55,76817,2370180.75,628,INE871B01014
ZODIACLOTH,EQ,212,214.35,207.1,210.25,211.9,210,3127,657559.6,204,INE206B01013
ZODJRDMKJ,EQ,29.35,32.5,29.35,32.3,32.5,31.5,653,20220,10,INE077B01018
ZUARI,EQ,385.65,400,382.95,397.4,394.9,385.65,26804,10560857.75,1321,INE840M01016
ZUARIGLOB,EQ,131.1,131.5,130,130.75,131.5,131.65,5718,747882.3,76,INE217A01012
ZYDUSWELL,EQ,834.5,854.45,834.2,844.95,845,834.4,1798,1517624,353,INE768C01010
ZYLOG,EQ,3.65,3.95,3.65,3.75,3.7,3.75,34165,127951.1,104,INE225I01026
